weather,occupancy_count,layout_index,seat_list,active_zones,baseline,baseline_power_W,optimized_power_W,absolute_saving_W,outcome
Overcast,14,1,0;1;3;4;6;9;10;11;13;15;16;19;20;22,3,Zonal PIR ceiling-only,303.6,127.5,176.10000000000002,GA lower
Overcast,14,2,0;2;3;4;8;9;10;11;12;13;14;16;17;20,3,Zonal PIR ceiling-only,303.6,135.0,168.60000000000002,GA lower
Overcast,14,3,0;2;5;6;9;10;11;13;14;16;17;20;22;23,3,Zonal PIR ceiling-only,303.6,121.5,182.10000000000002,GA lower
Overcast,14,4,0;3;4;5;6;9;11;12;15;17;18;19;21;23,3,Zonal PIR ceiling-only,303.6,123.0,180.60000000000002,GA lower
Overcast,14,5,3;4;6;9;10;12;13;16;17;18;19;20;22;23,3,Zonal PIR ceiling-only,290.4,117.0,173.39999999999998,GA lower
Overcast,15,1,0;1;2;3;4;6;7;9;10;13;15;18;19;20;21,3,Zonal PIR ceiling-only,290.4,130.5,159.89999999999998,GA lower
Overcast,15,2,0;1;3;4;6;7;12;13;14;15;18;20;21;22;23,3,Zonal PIR ceiling-only,250.8,117.0,133.8,GA lower
Overcast,15,3,1;2;3;5;7;8;10;11;12;14;16;17;18;20;22,3,Zonal PIR ceiling-only,303.6,133.5,170.10000000000002,GA lower
Overcast,15,4,1;4;5;6;8;9;10;14;15;16;19;20;21;22;23,3,Zonal PIR ceiling-only,290.4,117.0,173.39999999999998,GA lower
Overcast,15,5,3;4;5;7;10;11;12;13;14;16;17;18;19;21;23,3,Zonal PIR ceiling-only,303.6,127.5,176.10000000000002,GA lower
Clear,1,1,0,1,Rule-based hybrid,6.0,6.0,0.0,Equal
Clear,1,2,3,1,Rule-based hybrid,6.0,7.5,-1.5,GA higher
Clear,1,3,8,1,Rule-based hybrid,1.5,1.5,0.0,Equal
Clear,1,4,20,1,Rule-based hybrid,0.0,0.0,0.0,Equal
Clear,1,5,23,1,Rule-based hybrid,0.0,0.0,0.0,Equal
Clear,2,1,2;17,2,Rule-based hybrid,9.0,10.5,-1.5,GA higher
Clear,2,2,3;23,2,Rule-based hybrid,6.0,7.5,-1.5,GA higher
Clear,2,3,4;7,1,Rule-based hybrid,3.0,3.0,0.0,Equal
Clear,2,4,13;18,2,Rule-based hybrid,3.0,3.0,0.0,Equal
Clear,2,5,21;23,1,Rule-based hybrid,0.0,0.0,0.0,Equal
